feature_block,method,selected_k,source_row_index,cluster_label,cluster_name,pc1,pc2,measurement_id,session_id,timestamp,service_degraded,degradation_status
reduced_context,kmeans,2,0,1,C1,-2.183204093678323,-0.4525352650516191,synnetqos_m_00000001,S042_00000,2025-07-27 02:04:00.705217,1,Degraded
reduced_context,kmeans,2,1,1,C1,-1.3038964440546346,-0.4200109311264692,synnetqos_m_00000002,S042_00000,2025-07-27 02:05:00.705217,1,Degraded
reduced_context,kmeans,2,14,0,C0,3.4845414906503644,2.434664112811443,synnetqos_m_00000015,S042_00001,2025-08-21 01:16:38.741856,0,Not degraded
reduced_context,kmeans,2,16,0,C0,1.262385267252116,0.3670449277089094,synnetqos_m_00000017,S042_00001,2025-08-21 01:18:38.741856,0,Not degraded
reduced_context,kmeans,2,40,0,C0,1.014107559233876,-0.013946304652869286,synnetqos_m_00000041,S042_00004,2025-08-04 23:21:40.458412,0,Not degraded
reduced_context,kmeans,2,58,1,C1,0.3657297859888101,-0.8258826361903617,synnetqos_m_00000059,S042_00005,2025-08-18 07:00:48.035137,0,Not degraded
reduced_context,kmeans,2,91,0,C0,0.9324578394375523,-0.7572389708364202,synnetqos_m_00000092,S042_00009,2025-08-17 13:59:50.277916,0,Not degraded
reduced_context,kmeans,2,95,0,C0,1.8721370668055952,-0.5013990678610926,synnetqos_m_00000096,S042_00009,2025-08-17 14:03:50.277916,0,Not degraded
reduced_context,kmeans,2,103,0,C0,2.4936302581936247,-2.982939464283598,synnetqos_m_00000104,S042_00010,2025-08-10 18:16:13.518138,0,Not degraded
reduced_context,kmeans,2,106,1,C1,-0.1778833412267899,-1.8423582153137266,synnetqos_m_00000107,S042_00010,2025-08-10 18:19:13.518138,1,Degraded
reduced_context,kmeans,2,110,1,C1,-1.0283864870884323,-0.041927011823256415,synnetqos_m_00000111,S042_00011,2025-07-27 13:10:03.891884,0,Not degraded
reduced_context,kmeans,2,167,1,C1,-0.967022138717134,-0.22691138113269999,synnetqos_m_00000168,S042_00016,2025-08-08 21:01:18.494322,1,Degraded
reduced_context,kmeans,2,177,0,C0,0.6789097092760309,0.9625396298340303,synnetqos_m_00000178,S042_00017,2025-08-05 01:21:37.258987,0,Not degraded
reduced_context,kmeans,2,185,1,C1,-0.13643725453544409,0.6099593125188995,synnetqos_m_00000186,S042_00018,2025-08-17 07:36:10.158437,1,Degraded
reduced_context,kmeans,2,188,0,C0,1.3408744435041513,0.47623279865148227,synnetqos_m_00000189,S042_00018,2025-08-17 07:39:10.158437,0,Not degraded
reduced_context,kmeans,2,191,1,C1,-0.6653372189102461,-0.8363580815092896,synnetqos_m_00000192,S042_00019,2025-08-22 12:50:49.663776,0,Not degraded
reduced_context,kmeans,2,192,1,C1,0.4813849345702982,-1.4139347714745623,synnetqos_m_00000193,S042_00019,2025-08-22 12:51:49.663776,0,Not degraded
reduced_context,kmeans,2,203,1,C1,-2.541020339811394,0.21486055406153745,synnetqos_m_00000204,S042_00020,2025-07-29 07:48:29.191297,1,Degraded
reduced_context,kmeans,2,205,1,C1,-2.0899488782415787,-0.34587326408234564,synnetqos_m_00000206,S042_00020,2025-07-29 07:50:29.191297,1,Degraded
reduced_context,kmeans,2,215,0,C0,0.9723813019039641,-0.4874136188373529,synnetqos_m_00000216,S042_00021,2025-08-23 03:46:13.432318,0,Not degraded
reduced_context,kmeans,2,234,0,C0,2.2410968552614596,0.26298775060134444,synnetqos_m_00000235,S042_00023,2025-08-22 05:30:21.571075,0,Not degraded
reduced_context,kmeans,2,237,1,C1,-2.3210265469255345,1.257676838799847,synnetqos_m_00000238,S042_00023,2025-08-22 05:33:21.571075,1,Degraded
reduced_context,kmeans,2,240,1,C1,-0.5900167444135744,-1.009052845099367,synnetqos_m_00000241,S042_00024,2025-08-05 19:42:46.624223,1,Degraded
reduced_context,kmeans,2,245,1,C1,-0.48344841408610045,-0.2624449567202037,synnetqos_m_00000246,S042_00024,2025-08-05 19:47:46.624223,1,Degraded
reduced_context,kmeans,2,247,1,C1,-1.0707095701375255,-0.7091562504165883,synnetqos_m_00000248,S042_00024,2025-08-05 19:49:46.624223,1,Degraded
reduced_context,kmeans,2,256,1,C1,-3.595410988405622,-0.07994213460542433,synnetqos_m_00000257,S042_00025,2025-07-30 21:30:04.526847,1,Degraded
reduced_context,kmeans,2,259,1,C1,-3.2389845919691416,2.5874404360876304,synnetqos_m_00000260,S042_00025,2025-07-30 21:33:04.526847,1,Degraded
reduced_context,kmeans,2,265,1,C1,-0.34281681098622946,-1.1477656171022705,synnetqos_m_00000266,S042_00026,2025-08-20 09:26:32.418248,0,Not degraded
reduced_context,kmeans,2,266,1,C1,-0.4369134201318081,1.2294106450744018,synnetqos_m_00000267,S042_00026,2025-08-20 09:27:32.418248,1,Degraded
reduced_context,kmeans,2,341,1,C1,-1.970286167103653,2.349059074814114,synnetqos_m_00000342,S042_00034,2025-08-24 06:41:38.766142,1,Degraded
reduced_context,kmeans,2,345,1,C1,-2.2865349878840457,2.3119918675223237,synnetqos_m_00000346,S042_00034,2025-08-24 06:45:38.766142,1,Degraded
reduced_context,kmeans,2,364,1,C1,-1.5324064289309398,0.9794284841610377,synnetqos_m_00000365,S042_00036,2025-08-06 15:44:26.283807,0,Not degraded
reduced_context,kmeans,2,368,1,C1,-1.2194198975293344,0.2913684630702216,synnetqos_m_00000369,S042_00036,2025-08-06 15:48:26.283807,0,Not degraded
reduced_context,kmeans,2,373,0,C0,3.0352998328712797,-1.9035058416553778,synnetqos_m_00000374,S042_00037,2025-08-09 23:10:21.256169,0,Not degraded
reduced_context,kmeans,2,381,1,C1,0.08929589608948807,0.701756142576403,synnetqos_m_00000382,S042_00038,2025-08-24 19:17:14.871250,0,Not degraded
reduced_context,kmeans,2,396,1,C1,-0.7419169011686597,-0.8305873373413659,synnetqos_m_00000397,S042_00039,2025-08-13 22:28:33.099503,1,Degraded
reduced_context,kmeans,2,415,1,C1,-1.6919470483442614,-0.3903253093095191,synnetqos_m_00000416,S042_00041,2025-07-31 09:28:41.500313,1,Degraded
reduced_context,kmeans,2,418,1,C1,-0.3581256324603231,0.18627610329093333,synnetqos_m_00000419,S042_00041,2025-07-31 09:31:41.500313,1,Degraded
reduced_context,kmeans,2,423,1,C1,-0.10181892896230621,-0.4179187424500196,synnetqos_m_00000424,S042_00042,2025-08-15 17:55:51.743610,0,Not degraded
reduced_context,kmeans,2,426,1,C1,-0.6057130168432429,0.04732027631525356,synnetqos_m_00000427,S042_00042,2025-08-15 17:58:51.743610,0,Not degraded
reduced_context,kmeans,2,429,1,C1,-0.8107069520091059,-1.1196678317442388,synnetqos_m_00000430,S042_00042,2025-08-15 18:01:51.743610,1,Degraded
reduced_context,kmeans,2,430,1,C1,-3.14110404192131,1.3383887292311578,synnetqos_m_00000431,S042_00043,2025-08-09 02:36:37.720425,1,Degraded
reduced_context,kmeans,2,440,1,C1,0.14158744085200842,-0.7102714694941819,synnetqos_m_00000441,S042_00044,2025-08-17 16:06:25.486588,0,Not degraded
reduced_context,kmeans,2,453,0,C0,2.419444730178232,0.6434777911832394,synnetqos_m_00000454,S042_00045,2025-08-06 00:53:01.871406,0,Not degraded
reduced_context,kmeans,2,457,1,C1,-0.2759330528813405,0.4357476882525445,synnetqos_m_00000458,S042_00045,2025-08-06 00:57:01.871406,0,Not degraded
reduced_context,kmeans,2,463,1,C1,-1.3471105631076923,-0.5774238019023403,synnetqos_m_00000464,S042_00046,2025-08-16 06:52:13.786038,0,Not degraded
reduced_context,kmeans,2,488,0,C0,1.2614775704465024,-0.8986946485432579,synnetqos_m_00000489,S042_00048,2025-08-16 14:34:09.920505,0,Not degraded
reduced_context,kmeans,2,501,1,C1,-0.9739072201633618,2.236751724589315,synnetqos_m_00000502,S042_00050,2025-08-11 08:53:33.280336,1,Degraded
reduced_context,kmeans,2,520,1,C1,-1.1859925348805493,-0.5034354083936882,synnetqos_m_00000521,S042_00052,2025-08-10 17:28:45.828110,0,Not degraded
reduced_context,kmeans,2,540,1,C1,-2.3763186287515,-0.3642564975704199,synnetqos_m_00000541,S042_00054,2025-08-23 10:47:37.442025,1,Degraded
reduced_context,kmeans,2,561,1,C1,0.033011998768607435,-0.34312159868858205,synnetqos_m_00000562,S042_00056,2025-08-06 15:12:09.264696,0,Not degraded
reduced_context,kmeans,2,576,1,C1,0.08964471543518836,-0.6780396203157572,synnetqos_m_00000577,S042_00057,2025-08-13 21:15:08.828140,0,Not degraded
reduced_context,kmeans,2,594,0,C0,2.9555014506945256,3.3839545457975913,synnetqos_m_00000595,S042_00059,2025-08-03 06:15:52.768627,0,Not degraded
reduced_context,kmeans,2,598,1,C1,-0.13734664517509973,0.8855252799569279,synnetqos_m_00000599,S042_00059,2025-08-03 06:19:52.768627,1,Degraded
reduced_context,kmeans,2,633,0,C0,1.1041558105933218,-1.2032196769031882,synnetqos_m_00000634,S042_00063,2025-08-11 12:34:51.360684,0,Not degraded
