model_name,feature_name,importance_type,importance_value,experiment_name,experiment_label
decision_tree_gini,numeric__link_capacity_downlink_mbps,feature_importance,0.7267417361415731,full_context,Full operating-context feature set
decision_tree_gini,numeric__offered_downlink_mbps,feature_importance,0.17675931356163263,full_context,Full operating-context feature set
decision_tree_gini,categorical__congestion_level_High,feature_importance,0.034717545196963365,full_context,Full operating-context feature set
decision_tree_gini,numeric__link_capacity_upload_mbps,feature_importance,0.01969836318074634,full_context,Full operating-context feature set
decision_tree_gini,categorical__network_type_5G SA,feature_importance,0.01691593345166224,full_context,Full operating-context feature set
decision_tree_gini,categorical__network_type_5G NSA,feature_importance,0.009130667834702719,full_context,Full operating-context feature set
decision_tree_gini,categorical__app_type_Call,feature_importance,0.004502242329452616,full_context,Full operating-context feature set
decision_tree_gini,numeric__signal_strength_dbm,feature_importance,0.003546287172460464,full_context,Full operating-context feature set
decision_tree_gini,numeric__signal_strength_unclipped_dbm,feature_importance,0.0027366939006427072,full_context,Full operating-context feature set
decision_tree_gini,categorical__congestion_level_Low,feature_importance,0.002440264090431232,full_context,Full operating-context feature set
decision_tree_gini,numeric__mobility_penalty_db,feature_importance,0.0015545758617790872,full_context,Full operating-context feature set
decision_tree_gini,categorical__movement_speed_Static,feature_importance,0.0010939573292988098,full_context,Full operating-context feature set
decision_tree_gini,numeric__offered_upload_mbps,feature_importance,0.00010775896818204972,full_context,Full operating-context feature set
decision_tree_gini,categorical__ue_capability_class_Basic,feature_importance,2.2747216300455416e-05,full_context,Full operating-context feature set
decision_tree_gini,numeric__deterministic_path_loss_db,feature_importance,1.566788421671602e-05,full_context,Full operating-context feature set
decision_tree_gini,numeric__interval_handover_count,feature_importance,7.862301240726007e-06,full_context,Full operating-context feature set
decision_tree_gini,numeric__shadow_fading_db,feature_importance,3.6418409189796385e-06,full_context,Full operating-context feature set
decision_tree_gini,numeric__fast_fading_db,feature_importance,1.1921099063076107e-06,full_context,Full operating-context feature set
decision_tree_gini,categorical__band_n79,feature_importance,9.335989094532141e-07,full_context,Full operating-context feature set
decision_tree_gini,numeric__data_usage_mb,feature_importance,9.314482817808136e-07,full_context,Full operating-context feature set
decision_tree_gini,numeric__breakpoint_distance_m,feature_importance,8.654367030411966e-07,full_context,Full operating-context feature set
decision_tree_gini,numeric__distance_2d_m,feature_importance,8.19143995075936e-07,full_context,Full operating-context feature set
decision_tree_gini,numeric__hour,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__is_weekend,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__los_probability,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__distance_3d_m,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__path_loss_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__obstruction_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__weather_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__indoor_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__contextual_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__rsrp_clipped,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__battery_level_percent,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__temperature_c,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__connected_duration_min,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__cumulative_handover_count,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__activity_factor,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__distance_to_tower_km,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,numeric__carrier_frequency_ghz,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_gini,categorical__day_of_week_Friday,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__link_capacity_downlink_mbps,feature_importance,0.6273389863684143,full_context,Full operating-context feature set
decision_tree_entropy,numeric__offered_downlink_mbps,feature_importance,0.23621057232922346,full_context,Full operating-context feature set
decision_tree_entropy,numeric__link_capacity_upload_mbps,feature_importance,0.05360802264063745,full_context,Full operating-context feature set
decision_tree_entropy,categorical__congestion_level_High,feature_importance,0.0219289689814558,full_context,Full operating-context feature set
decision_tree_entropy,categorical__network_type_5G NSA,feature_importance,0.017225357516040807,full_context,Full operating-context feature set
decision_tree_entropy,categorical__congestion_level_Low,feature_importance,0.01196241115592479,full_context,Full operating-context feature set
decision_tree_entropy,numeric__signal_strength_unclipped_dbm,feature_importance,0.009128779772685783,full_context,Full operating-context feature set
decision_tree_entropy,categorical__network_type_5G SA,feature_importance,0.00785589586919565,full_context,Full operating-context feature set
decision_tree_entropy,categorical__congestion_level_Medium,feature_importance,0.005008721668005337,full_context,Full operating-context feature set
decision_tree_entropy,numeric__mobility_penalty_db,feature_importance,0.0027493008512452506,full_context,Full operating-context feature set
decision_tree_entropy,numeric__signal_strength_dbm,feature_importance,0.002345993948875428,full_context,Full operating-context feature set
decision_tree_entropy,categorical__movement_speed_Driving,feature_importance,0.001715406124870551,full_context,Full operating-context feature set
decision_tree_entropy,numeric__data_usage_mb,feature_importance,0.0006147017040285613,full_context,Full operating-context feature set
decision_tree_entropy,numeric__deterministic_path_loss_db,feature_importance,0.0004015733558429031,full_context,Full operating-context feature set
decision_tree_entropy,numeric__shadow_fading_db,feature_importance,0.00035508248117293624,full_context,Full operating-context feature set
decision_tree_entropy,numeric__cumulative_handover_count,feature_importance,0.0003130208625946302,full_context,Full operating-context feature set
decision_tree_entropy,numeric__path_loss_db,feature_importance,0.0002895972620191662,full_context,Full operating-context feature set
decision_tree_entropy,categorical__weather_Rainy,feature_importance,0.000254640906892916,full_context,Full operating-context feature set
decision_tree_entropy,categorical__movement_speed_Walking,feature_importance,0.00021197205747728172,full_context,Full operating-context feature set
decision_tree_entropy,categorical__ue_capability_class_Basic,feature_importance,0.00019002061293016504,full_context,Full operating-context feature set
decision_tree_entropy,numeric__fast_fading_db,feature_importance,0.000123317169972199,full_context,Full operating-context feature set
decision_tree_entropy,numeric__connected_duration_min,feature_importance,0.00011196685202395325,full_context,Full operating-context feature set
decision_tree_entropy,numeric__distance_2d_m,feature_importance,5.568950847057673e-05,full_context,Full operating-context feature set
decision_tree_entropy,numeric__weather_penalty_db,feature_importance,1.0906586911727989e-16,full_context,Full operating-context feature set
decision_tree_entropy,numeric__offered_upload_mbps,feature_importance,4.9037847482762314e-17,full_context,Full operating-context feature set
decision_tree_entropy,numeric__hour,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__is_weekend,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__los_probability,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__distance_3d_m,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__breakpoint_distance_m,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__obstruction_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__indoor_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__contextual_penalty_db,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__rsrp_clipped,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__battery_level_percent,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__temperature_c,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__interval_handover_count,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__activity_factor,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__distance_to_tower_km,feature_importance,0.0,full_context,Full operating-context feature set
decision_tree_entropy,numeric__carrier_frequency_ghz,feature_importance,0.0,full_context,Full operating-context feature set
logistic_regression,numeric__offered_downlink_mbps,absolute_coefficient,8.543470649725249,full_context,Full operating-context feature set
logistic_regression,numeric__link_capacity_downlink_mbps,absolute_coefficient,7.826949233214466,full_context,Full operating-context feature set
logistic_regression,numeric__signal_strength_dbm,absolute_coefficient,5.999836628350688,full_context,Full operating-context feature set
logistic_regression,numeric__data_usage_mb,absolute_coefficient,4.201766366076154,full_context,Full operating-context feature set
logistic_regression,categorical__congestion_level_High,absolute_coefficient,2.697109946464448,full_context,Full operating-context feature set
logistic_regression,categorical__congestion_level_Low,absolute_coefficient,2.402159265758996,full_context,Full operating-context feature set
logistic_regression,categorical__network_type_5G SA,absolute_coefficient,2.0681164814440764,full_context,Full operating-context feature set
logistic_regression,numeric__link_capacity_upload_mbps,absolute_coefficient,1.8490237641612863,full_context,Full operating-context feature set
logistic_regression,categorical__network_type_4G,absolute_coefficient,1.1726338859679997,full_context,Full operating-context feature set
logistic_regression,categorical__band_LTE_Anchor,absolute_coefficient,1.1726338859679997,full_context,Full operating-context feature set
logistic_regression,numeric__signal_strength_unclipped_dbm,absolute_coefficient,0.7620343660647972,full_context,Full operating-context feature set
logistic_regression,numeric__path_loss_db,absolute_coefficient,0.6748236411882744,full_context,Full operating-context feature set
logistic_regression,categorical__network_type_5G NSA,absolute_coefficient,0.6298285565929069,full_context,Full operating-context feature set
logistic_regression,categorical__congestion_level_Medium,absolute_coefficient,0.5606047195888325,full_context,Full operating-context feature set
logistic_regression,numeric__deterministic_path_loss_db,absolute_coefficient,0.5391578181341073,full_context,Full operating-context feature set
logistic_regression,categorical__los_state_NLOS,absolute_coefficient,0.48303762186179183,full_context,Full operating-context feature set
logistic_regression,categorical__app_type_Call,absolute_coefficient,0.4686147405485181,full_context,Full operating-context feature set
logistic_regression,categorical__band_n79,absolute_coefficient,0.46492832187607935,full_context,Full operating-context feature set
logistic_regression,numeric__shadow_fading_db,absolute_coefficient,0.40742596560663186,full_context,Full operating-context feature set
logistic_regression,numeric__los_probability,absolute_coefficient,0.40383703621396877,full_context,Full operating-context feature set
logistic_regression,numeric__activity_factor,absolute_coefficient,0.3811806533661266,full_context,Full operating-context feature set
logistic_regression,numeric__contextual_penalty_db,absolute_coefficient,0.3397173453098021,full_context,Full operating-context feature set
logistic_regression,numeric__obstruction_penalty_db,absolute_coefficient,0.3080134557568877,full_context,Full operating-context feature set
