edge_id,source_node_id,target_node_id,edge_type,graph_view,is_directed,edge_weight,measurement_id,session_id
edge_6dba585280b2c53613,warehouse_measurement:measurement:synnetqos_m_00000001:5c701a54a3f4,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000001,S042_00000
edge_21915ab853f7ec2633,warehouse_measurement:measurement:synnetqos_m_00000002:cf9a09e15ef9,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000002,S042_00000
edge_bdbf8f5a969919bd09,warehouse_measurement:measurement:synnetqos_m_00000003:1a4b394f3fbd,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000003,S042_00000
edge_4dcf7e0be2544b8acb,warehouse_measurement:measurement:synnetqos_m_00000004:a367d3da8c90,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000004,S042_00000
edge_a1fcacca5b7235e2ad,warehouse_measurement:measurement:synnetqos_m_00000005:eba619fa9572,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000005,S042_00000
edge_6b953fd6476c63a772,warehouse_measurement:measurement:synnetqos_m_00000006:c0fd95830c72,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000006,S042_00000
edge_fcf8de083e0c1cf9ac,warehouse_measurement:measurement:synnetqos_m_00000007:19a74df29293,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000007,S042_00000
edge_5154a777420ab390fd,warehouse_measurement:measurement:synnetqos_m_00000008:aaf9f917cca2,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000008,S042_00000
edge_23e7409bc3ee7af3ea,warehouse_measurement:measurement:synnetqos_m_00000009:63f18b3b2382,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000009,S042_00000
edge_1c46194945e2779a15,warehouse_measurement:measurement:synnetqos_m_00000010:9a7aa5984914,warehouse_measurement:session:s042_00000:1baf133b60e3,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000010,S042_00000
edge_94cb9dbe6ee17bb5c0,warehouse_measurement:measurement:synnetqos_m_00000011:ea185f57817c,warehouse_measurement:session:s042_00001:745b99c241d0,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000011,S042_00001
edge_977ecad63fb062d1d7,warehouse_measurement:measurement:synnetqos_m_00000012:efe6e9cd4dfc,warehouse_measurement:session:s042_00001:745b99c241d0,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000012,S042_00001
edge_6da66c6e6a9508f298,warehouse_measurement:measurement:synnetqos_m_00000013:c832812de3a3,warehouse_measurement:session:s042_00001:745b99c241d0,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000013,S042_00001
edge_fefbfc748070103557,warehouse_measurement:measurement:synnetqos_m_00000014:70d96f76e42e,warehouse_measurement:session:s042_00001:745b99c241d0,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000014,S042_00001
edge_e11e627f5de13cec8f,warehouse_measurement:measurement:synnetqos_m_00000015:61b6b62c4791,warehouse_measurement:session:s042_00001:745b99c241d0,belongs_to_session,warehouse_measurement,False,1.0,synnetqos_m_00000015,S042_00001
