feature_context,criterion,rule_id,predicted_state,class_confidence,node_sample_count,degraded_rate_in_leaf,rule_text_interpretable,threshold_units_note
reduced_context,gini,reduced_context_gini_leaf_4,degraded,0.9895905284096684,7946,0.9895905284096684,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) ≤ -107.9 AND Application Type ≠ Call AND Data Usage (MB) ≤ 12.44,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_14,degraded,1.0,1657,1.0,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) > -107.9 AND Congestion Level = High AND Network Type ≠ 5G SA,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_26,degraded,0.9245104892941751,2009,0.9245104892941751,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level = High AND Unclipped Signal Strength (dBm) ≤ -90.58 AND Network Type ≠ 5G SA,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_7,degraded,0.925993275521454,1896,0.925993275521454,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) ≤ -107.9 AND Application Type = Call AND Data Usage (MB) ≤ 2.495,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_12,degraded,0.8810531864051566,1022,0.8810531864051566,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) > -107.9 AND Congestion Level ≠ High AND Network Type = 4G,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_5,degraded,0.8138224842970567,1049,0.8138224842970567,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) ≤ -107.9 AND Application Type ≠ Call AND Data Usage (MB) > 12.44,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_15,degraded,0.6937899757886734,886,0.6937899757886734,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) > -107.9 AND Congestion Level = High AND Network Type = 5G SA,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_22,degraded,0.6287020267927699,1062,0.6287020267927699,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level ≠ High AND Network Type = 4G AND Signal Strength (dBm) ≤ -92.1,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_30,degraded,0.609910528168944,1285,0.609910528168944,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level = High AND Unclipped Signal Strength (dBm) > -90.58 AND Network Type = 4G,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_8,degraded,0.537176615038246,1010,0.537176615038246,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) ≤ -107.9 AND Application Type = Call AND Data Usage (MB) > 2.495,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_19,not_degraded,0.9836547734600745,7339,0.016345226539925532,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level ≠ High AND Network Type ≠ 4G AND Application Type ≠ Streaming,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_29,not_degraded,0.8564602575472362,3926,0.14353974245276374,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level = High AND Unclipped Signal Strength (dBm) > -90.58 AND Network Type ≠ 4G,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_23,not_degraded,0.8741332299950105,2407,0.1258667700049895,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level ≠ High AND Network Type = 4G AND Signal Strength (dBm) > -92.1,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_20,not_degraded,0.846119692385365,2476,0.15388030761463498,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level ≠ High AND Network Type ≠ 4G AND Application Type = Streaming,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_11,not_degraded,0.6487609242226782,2953,0.3512390757773218,Unclipped Signal Strength (dBm) ≤ -100.1 AND Signal Strength (dBm) > -107.9 AND Congestion Level ≠ High AND Network Type ≠ 4G,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
reduced_context,gini,reduced_context_gini_leaf_27,not_degraded,0.7107841439826725,1077,0.2892158560173275,Unclipped Signal Strength (dBm) > -100.1 AND Congestion Level = High AND Unclipped Signal Strength (dBm) ≤ -90.58 AND Network Type = 5G SA,rule_text uses transformed model inputs; rule_text_interpretable maps numeric thresholds back to the training-set original scale where possible
